loss,config,halt_threshold,n_sup,split,epoch,step,count,val_acc,note
softmean,nsup-16,0.0,16,val,10,1,4773,2.00,
softmean,nsup-16,0.0,16,val,10,2,50,2.00,
softmean,nsup-16,0.0,16,val,10,3,11,2.00,
softmean,nsup-16,0.0,16,val,10,4,2,2.00,
softmean,nsup-16,0.0,16,val,10,5,1,2.00,
softmean,nsup-16,0.0,16,val,10,6,3,2.00,
softmean,nsup-16,0.0,16,val,10,7,0,2.00,
softmean,nsup-16,0.0,16,val,10,8,0,2.00,
softmean,nsup-16,0.0,16,val,10,9,0,2.00,
softmean,nsup-16,0.0,16,val,10,10,0,2.00,
softmean,nsup-16,0.0,16,val,10,11,0,2.00,
softmean,nsup-16,0.0,16,val,10,12,0,2.00,
softmean,nsup-16,0.0,16,val,10,13,1,2.00,
softmean,nsup-16,0.0,16,val,10,14,0,2.00,
softmean,nsup-16,0.0,16,val,10,15,0,2.00,
softmean,nsup-16,0.0,16,val,10,16,159,2.00,includes never-halted
softmean,nsup-16,0.0,16,train,20,1,45000,8.46,
softmean,nsup-16,0.0,16,train,20,2,0,8.46,
softmean,nsup-16,0.0,16,train,20,3,0,8.46,
softmean,nsup-16,0.0,16,train,20,4,0,8.46,
softmean,nsup-16,0.0,16,train,20,5,0,8.46,
softmean,nsup-16,0.0,16,train,20,6,0,8.46,
softmean,nsup-16,0.0,16,train,20,7,0,8.46,
softmean,nsup-16,0.0,16,train,20,8,0,8.46,
softmean,nsup-16,0.0,16,train,20,9,0,8.46,
softmean,nsup-16,0.0,16,train,20,10,0,8.46,
softmean,nsup-16,0.0,16,train,20,11,0,8.46,
softmean,nsup-16,0.0,16,train,20,12,0,8.46,
softmean,nsup-16,0.0,16,train,20,13,0,8.46,
softmean,nsup-16,0.0,16,train,20,14,0,8.46,
softmean,nsup-16,0.0,16,train,20,15,0,8.46,
softmean,nsup-16,0.0,16,train,20,16,0,8.46,includes never-halted
softmean,nsup-16,0.0,16,val,20,1,5000,8.46,
softmean,nsup-16,0.0,16,val,20,2,0,8.46,
softmean,nsup-16,0.0,16,val,20,3,0,8.46,
softmean,nsup-16,0.0,16,val,20,4,0,8.46,
softmean,nsup-16,0.0,16,val,20,5,0,8.46,
softmean,nsup-16,0.0,16,val,20,6,0,8.46,
softmean,nsup-16,0.0,16,val,20,7,0,8.46,
softmean,nsup-16,0.0,16,val,20,8,0,8.46,
softmean,nsup-16,0.0,16,val,20,9,0,8.46,
softmean,nsup-16,0.0,16,val,20,10,0,8.46,
softmean,nsup-16,0.0,16,val,20,11,0,8.46,
softmean,nsup-16,0.0,16,val,20,12,0,8.46,
softmean,nsup-16,0.0,16,val,20,13,0,8.46,
softmean,nsup-16,0.0,16,val,20,14,0,8.46,
softmean,nsup-16,0.0,16,val,20,15,0,8.46,
softmean,nsup-16,0.0,16,val,20,16,0,8.46,includes never-halted
softmean,nsup-16,0.0,16,train,30,1,45000,9.72,
softmean,nsup-16,0.0,16,train,30,2,0,9.72,
softmean,nsup-16,0.0,16,train,30,3,0,9.72,
softmean,nsup-16,0.0,16,train,30,4,0,9.72,
softmean,nsup-16,0.0,16,train,30,5,0,9.72,
softmean,nsup-16,0.0,16,train,30,6,0,9.72,
softmean,nsup-16,0.0,16,train,30,7,0,9.72,
softmean,nsup-16,0.0,16,train,30,8,0,9.72,
softmean,nsup-16,0.0,16,train,30,9,0,9.72,
softmean,nsup-16,0.0,16,train,30,10,0,9.72,
softmean,nsup-16,0.0,16,train,30,11,0,9.72,
softmean,nsup-16,0.0,16,train,30,12,0,9.72,
softmean,nsup-16,0.0,16,train,30,13,0,9.72,
softmean,nsup-16,0.0,16,train,30,14,0,9.72,
softmean,nsup-16,0.0,16,train,30,15,0,9.72,
softmean,nsup-16,0.0,16,train,30,16,0,9.72,includes never-halted
softmean,nsup-16,0.0,16,val,30,1,5000,9.72,
softmean,nsup-16,0.0,16,val,30,2,0,9.72,
softmean,nsup-16,0.0,16,val,30,3,0,9.72,
softmean,nsup-16,0.0,16,val,30,4,0,9.72,
softmean,nsup-16,0.0,16,val,30,5,0,9.72,
softmean,nsup-16,0.0,16,val,30,6,0,9.72,
softmean,nsup-16,0.0,16,val,30,7,0,9.72,
softmean,nsup-16,0.0,16,val,30,8,0,9.72,
softmean,nsup-16,0.0,16,val,30,9,0,9.72,
softmean,nsup-16,0.0,16,val,30,10,0,9.72,
softmean,nsup-16,0.0,16,val,30,11,0,9.72,
softmean,nsup-16,0.0,16,val,30,12,0,9.72,
softmean,nsup-16,0.0,16,val,30,13,0,9.72,
softmean,nsup-16,0.0,16,val,30,14,0,9.72,
softmean,nsup-16,0.0,16,val,30,15,0,9.72,
softmean,nsup-16,0.0,16,val,30,16,0,9.72,includes never-halted
softmean,nsup-16,0.0,16,train,40,1,45000,89.48,
softmean,nsup-16,0.0,16,train,40,2,0,89.48,
